,App id,clean_content,tags
0,com.zentertain.photoeditor,"['may', 'be', 'i', 'can', 'check']","['O', 'O', 'O', 'O', 'O']"
1,com.zentertain.photoeditor,"['it', 'make', 'me', 'happy']","['O', 'O', 'O', 'O']"
2,com.zentertain.photoeditor,"['i', 'have', 'a', 'normal', 'phone', 'and', 'it', 'made', 'of', 'my', 'pics', 'look', 'like', 'one', 'of', 'a', 'iphone', 'if', 'u', 'dont', 'believe', 'me', 'look', 'at', 'my', 'instagran', 'account', 'wings']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
3,com.zentertain.photoeditor,"['love', 'it', 'so', 'much']","['O', 'O', 'O', 'O']"
4,com.zentertain.photoeditor,"['cant', 'get', 'to', 'install']","['O', 'O', 'O', 'B']"
5,com.zentertain.photoeditor,"['too', 'many', 'ads', 'and', 'secondly', 'erratic', 'interface']","['O', 'O', 'B', 'O', 'O', 'O', 'B']"
6,com.zentertain.photoeditor,"['i', 'have', 'already', 'uninstalled']","['O', 'O', 'O', 'B']"
7,com.zentertain.photoeditor,"['its', 'so', 'happy']","['O', 'O', 'O']"
8,com.zentertain.photoeditor,"['nicest', 'systematic', 'for', 'android', 'phones']","['O', 'O', 'O', 'O', 'O']"
9,com.zentertain.photoeditor,"['its', 'so', 'easy', 'and', 'fun']","['O', 'O', 'O', 'O', 'O']"
10,com.zentertain.photoeditor,"['main', 'diss', 'app', 'tight', 'um', 'hmmm']","['O', 'O', 'O', 'O', 'O', 'O']"
11,com.zentertain.photoeditor,"['everything', 'is', 'awesome']","['O', 'O', 'O']"
12,com.zentertain.photoeditor,"['i', 've', 'downloaded', 'a', 'few', 'different', 'ones', 'and', 'this', 'is', 'easy', 'to', 'use', 'and', 'the', 'pictures', 'come', 'out', 'great']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B', 'O', 'O', 'O']"
